CASE,YEAR,ADJUSTED
182,1649,
183,1649,
184,1649,
185,1649,
186,1649,
187,1650,
188,1651,
189,1651,
190,1651,
191,1653,
192,1653,
193,1653,
194,1654,
195,1654,
196,1654,
197,1656,
198,1655,
199,1656,
200,1656,
201,1657,
202,1658,
203,1658,
204,1658,
205,1660,
206,1660,
207,1661,
208,1661,
209,1661,
210,1662,
211,1662,
212,1662,
213,1663,
214,1663,
215,1663,y
216,1663,
217,1664,
218,1664,
219,1665,
220,1665,
221,1666,
222,1666,
223,1666,
224,1668,
225,1668,
226,1668,
227,1668,
228,1669,
229,1669,
230,1669,
231,1670,
232,1674,
233,1674,
234,1674,
235,1674,
236,1675,
237,1676,
238,1677,
239,1681,
240,1677,
241,1678,
242,1678,
243,1678,
244,1678,
245,1678,
246,1678,
247,1679,
248,1679,
249,1679,
250,1679,
251,1679,y
252,1679,
253,1679,
254,1679,
255,1679,
256,1679,
257,1679,
258,1679,
259,1680,
260,1680,
261,1680,
262,1680,
263,1680,
264,1680,
265,1680,
266,1680,
267,1680,
268,1680,
269,1680,
270,1680,
271,1678,y
272,1680,
273,1680,
274,1680,
275,1680,
276,1680,
277,1681,
278,1681,
279,1681,
280,1681,
281,1681,
282,1681,
283,1681,
284,1681,
285,1682,
286,1682,
287,1681,y
288,1682,
289,1682,
290,1682,
291,1683,
292,1683,
293,1682,
294,1683,
295,1683,
296,1683,
297,1683,
298,1683,
299,1683,
300,1683,
301,1683,
302,1684,
303,1684,
304,1684,
305,1684,
306,1684,
307,1684,
308,1684,
309,1684,
310,1684,
311,1684,
312,1683,
313,1684,
314,1684,
315,1681,
316,1680,
317,1681,
318,1684,
319,1684,
320,1684,
321,1684,
322,1685,
323,1685,
324,1684,y
325,1680,
326,1680,
327,1680,
328,1681,
329,1682,y
330,1681,
331,1685,
332,1685,
333,1685,
334,1685,
335,1685,
336,1685,
337,1685,
338,1686,
339,1678,y
340,1685,
341,1685,
342,1682,
343,1684,
344,1685,
345,1686,
346,1686,
347,1685,y
348,1687,
349,1686,
350,1686,
351,1687,
352,1686,
353,1687,
354,1688,
355,1687,y
356,1688,
357,1688,
358,1688,y
359,1687,
360,1689,
361,1689,
362,1689,
363,1689,
364,1689,
365,1691,
366,1689,
367,1692,
368,1692,
369,1692,
370,1692,
371,1692,
372,1692,
373,1692,y
374,1689,y
375,1689,y
376,1690,
377,1693,
378,1693,
379,1693,
380,1695,
381,1695,
382,1695,
383,1696,
384,1696,
385,1696,
386,1696,
387,1696,
388,1696,
389,1696,
390,1696,
391,1696,
392,1696,
393,1696,
394,1696,
395,1696,
396,1686,y
397,1690,
398,1692,
399,1694,
400,1695,
401,1696,
402,1699,
403,1699,
404,1699,
405,1699,
406,1699,
407,1695,y
408,1697,
409,1700,
410,1684,y
411,1694,
412,1697,
413,1697,
414,1690,y
415,1697,
418,1698,
420,1695,y
